model_name,dataset,method,pool_factor,ndcg@10,mrr@10,map@100,recall@10,recall@100,model_path,results_dir,results_json
fiqa-pool-hier-all,fiqa,hierarchical,1,0.36634870889769156,0.4457953654712914,0.3061791838040502,0.4234507733350326,0.5014087036077777,examples/pooling/train/output/fiqa-pool-hier-all/final,examples/pooling/evaluation/results/fiqa-pool-hier-all/beir_selection_v2/beir_pooling_sweep_20260325_210237,beir_examples_pooling_train_output_fiqa-pool-hier-all_final_pool1_hierarchical_ds_fiqa_k20_d300.json
fiqa-pool-hier-all,fiqa,hierarchical,2,0.3654260104470566,0.44301697530864204,0.30269943977247965,0.4264471725119873,0.5014926560065449,examples/pooling/train/output/fiqa-pool-hier-all/final,examples/pooling/evaluation/results/fiqa-pool-hier-all/beir_selection_v2/beir_pooling_sweep_20260325_210237,beir_examples_pooling_train_output_fiqa-pool-hier-all_final_pool2_hierarchical_ds_fiqa_k20_d300.json
fiqa-pool-hier-all,fiqa,hierarchical,3,0.3648520662304993,0.44651981677444635,0.3029558420221337,0.4228346584828066,0.4956137612387612,examples/pooling/train/output/fiqa-pool-hier-all/final,examples/pooling/evaluation/results/fiqa-pool-hier-all/beir_selection_v2/beir_pooling_sweep_20260325_210237,beir_examples_pooling_train_output_fiqa-pool-hier-all_final_pool3_hierarchical_ds_fiqa_k20_d300.json
fiqa-pool-hier-all,fiqa,hierarchical,4,0.3549818794386277,0.42941468253968246,0.292252291967788,0.41820992793215017,0.4917654790339976,examples/pooling/train/output/fiqa-pool-hier-all/final,examples/pooling/evaluation/results/fiqa-pool-hier-all/beir_selection_v2/beir_pooling_sweep_20260325_210237,beir_examples_pooling_train_output_fiqa-pool-hier-all_final_pool4_hierarchical_ds_fiqa_k20_d300.json
fiqa-pool-hier-all,fiqa,hierarchical,5,0.3460869218348826,0.4168840632961004,0.285215468796519,0.4077835187788892,0.47673020566539087,examples/pooling/train/output/fiqa-pool-hier-all/final,examples/pooling/evaluation/results/fiqa-pool-hier-all/beir_selection_v2/beir_pooling_sweep_20260325_210237,beir_examples_pooling_train_output_fiqa-pool-hier-all_final_pool5_hierarchical_ds_fiqa_k20_d300.json
fiqa-pool-hier-all,fiqa,hierarchical,6,0.34261796228411445,0.41407627865961194,0.28136706541272477,0.40268422849441365,0.4621781596318634,examples/pooling/train/output/fiqa-pool-hier-all/final,examples/pooling/evaluation/results/fiqa-pool-hier-all/beir_selection_v2/beir_pooling_sweep_20260325_210237,beir_examples_pooling_train_output_fiqa-pool-hier-all_final_pool6_hierarchical_ds_fiqa_k20_d300.json
fiqa-pool-kmeans-all,fiqa,kmeans_sk,1,0.37368272182091283,0.45258855085243976,0.31107684871397046,0.43345892362096067,0.5062484369197332,examples/pooling/train/output/fiqa-pool-kmeans-all/final,examples/pooling/evaluation/results/fiqa-pool-kmeans-all/beir_selection/beir_pooling_sweep_20260324_112146,beir_examples_pooling_train_output_fiqa-pool-kmeans-all_final_pool1_kmeans_ds_fiqa_k20_d300.json
fiqa-pool-kmeans-all,fiqa,kmeans_sk,2,0.37386384032839703,0.4524813834999021,0.31203092741350297,0.43216801631153484,0.5083317702530665,examples/pooling/train/output/fiqa-pool-kmeans-all/final,examples/pooling/evaluation/results/fiqa-pool-kmeans-all/beir_selection/beir_pooling_sweep_20260324_112146,beir_examples_pooling_train_output_fiqa-pool-kmeans-all_final_pool2_kmeans_ds_fiqa_k20_d300.json
fiqa-pool-kmeans-all,fiqa,kmeans_sk,3,0.37430319795956873,0.4501090045071527,0.3111958718101761,0.4346874233448308,0.4967380056500426,examples/pooling/train/output/fiqa-pool-kmeans-all/final,examples/pooling/evaluation/results/fiqa-pool-kmeans-all/beir_selection/beir_pooling_sweep_20260324_112146,beir_examples_pooling_train_output_fiqa-pool-kmeans-all_final_pool3_kmeans_ds_fiqa_k20_d300.json
fiqa-pool-kmeans-all,fiqa,kmeans_sk,4,0.37364855346274034,0.4528769841269841,0.3098204899834902,0.4312488822905489,0.4876312302238228,examples/pooling/train/output/fiqa-pool-kmeans-all/final,examples/pooling/evaluation/results/fiqa-pool-kmeans-all/beir_selection/beir_pooling_sweep_20260324_112146,beir_examples_pooling_train_output_fiqa-pool-kmeans-all_final_pool4_kmeans_ds_fiqa_k20_d300.json
fiqa-pool-kmeans-all,fiqa,kmeans_sk,5,0.3598480388523869,0.43725627082108565,0.29763494522494466,0.41715974354863233,0.4772334918168252,examples/pooling/train/output/fiqa-pool-kmeans-all/final,examples/pooling/evaluation/results/fiqa-pool-kmeans-all/beir_selection/beir_pooling_sweep_20260324_112146,beir_examples_pooling_train_output_fiqa-pool-kmeans-all_final_pool5_kmeans_ds_fiqa_k20_d300.json
fiqa-pool-kmeans-all,fiqa,kmeans_sk,6,0.3411011816487255,0.41850320889672743,0.28127773008981855,0.3923011487826302,0.45690231407824,examples/pooling/train/output/fiqa-pool-kmeans-all/final,examples/pooling/evaluation/results/fiqa-pool-kmeans-all/beir_selection/beir_pooling_sweep_20260324_112146,beir_examples_pooling_train_output_fiqa-pool-kmeans-all_final_pool6_kmeans_ds_fiqa_k20_d300.json
fiqa-pool-kmeans-all,nfcorpus,kmeans_sk,1,0.35689458302805144,0.5801329303651285,0.15266767529918138,0.17123793899477704,0.2039218833837329,examples/pooling/train/output/fiqa-pool-kmeans-all/final,examples/pooling/evaluation/results/fiqa-pool-kmeans-all/beir_selection/beir_pooling_sweep_20260324_112146,beir_examples_pooling_train_output_fiqa-pool-kmeans-all_final_pool1_kmeans_ds_nfcorpus_k20_d300.json
